Target,count_hgnc_symbol_target,BLCATargetCount,BRCATargetCount,CESCTargetCount,COADTargetCount,ESCATargetCount,HNSCTargetCount,KICHTargetCount,KIRCTargetCount,KIRPTargetCount,LGGTargetCount,LIHCTargetCount,LUADTargetCount,LUSCTargetCount,PAADTargetCount,PCPGTargetCount,PRADTargetCount,SARCTargetCount,STADTargetCount,TGCTTargetCount,THCATargetCount,THYMTargetCount,UCECTargetCount
ACOX1,1,,,,,,,,,,1,,,,,,,,,,,,
IL1R1,1,,,,,,,,,,1,,,,,,,,,,,,
TAL1,12,,,,,,,,,,12,,,,,,,,,,,,
GRIA2,3,,,,,,,,,,,,,,,,,,1,2,,,
PENK,3,,,,,,,,,,,,,,,,,,,3,,,
CHD9,2,1,1,,,,,,,,,,,,,,,,,,,,
ARF1,1,,,,,,1,,,,,,,,,,,,,,,,
ATF4,3,,,,,,,,,,3,,,,,,,,,,,,
INSR,16,,,,,,,,,,12,,,,,,,,4,,,,
RP1,2,,,,,,,,,,,,,,2,,,,,,,,
FASLG,2,,,,,,,,,,,,,,,,,1,,,1,,
HMGB1,1,,,,,,,,,,,,,,,,,1,,,,,
HERC2,1,,,,,,,,,,,,,,,,,,1,,,,
VWF,8,4,,,1,,1,,,,,,,,,,,1,1,,,,
NEDD4,1,,,,,,,,,,1,,,,,,,,,,,,
FH,1,,,,,,,,,,,,,,,,,1,,,,,
SRP68,1,,,,,,,,,,,,,,,,,1,,,,,
SKIDA1,1,,,,,,,,,,,,,,,,,1,,,,,
OSBPL8,1,,,,,,,,,,,,,,,,,,,1,,,
NOS3,13,4,,,,,,,,,,,,2,,,,1,1,4,,1,
CDKN1B,16,1,1,,,,,,,,,,,,,,1,1,12,,,,
MNT,4,,1,,,,,,,,2,,1,,,,,,,,,,
NFKB1,9,,1,,,,,,,,2,,,,1,,,,2,3,,,
NOTCH2NLA,2,,1,,1,,,,,,,,,,,,,,,,,,
EPHA2,5,,,,,,,,,,5,,,,,,,,,,,,
MED16,2,,,,,,,,,,2,,,,,,,,,,,,
C1orf21,2,,,,,,,,,,,1,,,,,,1,,,,,
PLB1,1,,,,,,,,,,,,,1,,,,,,,,,
HIVEP2,16,15,,,,,,,,,,,,,,,,1,,,,,
RPL10,1,,1,,,,,,,,,,,,,,,,,,,,
TMEM47,3,,,,,,2,,,,,,,,,,,,,,,,1
PAX6,6,,,,,,,,,,3,,,,,,,,3,,,,
KCTD15,15,,,,,,,,,,15,,,,,,,,,,,,
GSTP1,1,,,,,,,,,,,,,,,,,,,,,1,
GNRH1,6,,,,,,,,,1,,,,,,,,5,,,,,
GATA3,8,,,,,,,,,,8,,,,,,,,,,,,
MYCL,1,,,,,,,,,,1,,,,,,,,,,,,
SNRPB,1,,,,,,,,,,1,,,,,,,,,,,,
SNAI2,1,,,,,,,,,,,,,1,,,,,,,,,
ATP2B4,1,,,,,,,,,,,,,,,,,1,,,,,
PLK1,2,,,,,,,,,,,,,,,,,,,,,2,
SIRT1,2,1,,,,,,,,,1,,,,,,,,,,,,
CDC25A,10,,,,,,,,,,10,,,,,,,,,,,,
HMMR,1,,,,,,,,,,1,,,,,,,,,,,,
ZNF395,2,,,,,,,,,,2,,,,,,,,,,,,
PER2,2,,,,,,,,,,,,,,,,,,2,,,,
PGR,1,,,,,,,,,,,,,,,,,,,1,,,
FBLN2,1,,,,,,,,,,,,,,,,,,,,,1,
SMPD3,1,,,,,,,,,,,,,,,,,,,,,1,
TRIO,6,2,,,,,,,,,1,,,,,,,1,2,,,,
UNG,35,1,,,,,4,,,,30,,,,,,,,,,,,
YAP1,3,2,,,,,,,,,,,,,,,,,1,,,,
PLEKHG5,1,1,,,,,,,,,,,,,,,,,,,,,
CTIF,1,1,,,,,,,,,,,,,,,,,,,,,
STAG2,2,2,,,,,,,,,,,,,,,,,,,,,
NBPF15,8,,6,,2,,,,,,,,,,,,,,,,,,
MNX1,6,,,,,,,,,,6,,,,,,,,,,,,
ZNF217,10,,,,,,,,,,8,,,,,,,,,,,2,
H2BC11,1,,,,,,,,,,1,,,,,,,,,,,,
INPP4A,1,,,,,,,,,,,,,,,,,1,,,,,
MAN2A1,1,,,,,,,,,,,,,,,,,1,,,,,
FGD5,2,,,,,,,,,,,,,,,,,1,1,,,,
GPR55,1,,,,,,,,,,,,,,,,,,1,,,,
UGT2B15,1,,,,,,,,,,,,,,,,,,,1,,,
HEY1,2,,,,,,,,,,,,,,,,,,,,,2,
FMR1,2,1,,,,,,,,,,,,,,,,,1,,,,
NAB2,1,,1,,,,,,,,,,,,,,,,,,,,
KLF6,1,,,,,,,,,,,,,,,,,,1,,,,
ADAM10,48,,1,,,,,,,,45,,,,,,,,1,1,,,
FLT1,9,,4,,2,,1,,,,,,,,,,,1,1,,,,
USP32,2,,1,,,,,,,,,,,,,,,,1,,,,
SERPINE1,7,,,,2,,1,,,,4,,,,,,,,,,,,
YY1,2,,,,,,,,,,,,1,,,,,1,,,,,
ANKRD11,1,,,,,,,,,,,,,,,,,1,,,,,
ACLY,3,,,,,,,,,,,,,,,,,,3,,,,
EIF4EBP2,1,,,,,,,,,,,,,,,,,,,,1,,
TFRC,7,,,,,,,,,,,,,,,,,,,,,7,
PFKP,1,,,,,,1,,,,,,,,,,,,,,,,
BCAR1,3,,,,,,,,,,1,,,,,,,1,1,,,,
NADK,1,,,,,,,,,,1,,,,,,,,,,,,
FAAP20,10,,,,,,,,,,10,,,,,,,,,,,,
TFAP4,3,,,,,,,,,,,,,,,,,,3,,,,
FDXR,1,,,,,,,,,,,,,,,,,,,,,1,
ITGB4,5,4,,,,,,,,,,,,,,,,,,1,,,
PTPRG,6,,1,,,,,,,,5,,,,,,,,,,,,
MSI2,2,,,,,,,,,,1,,,,,,,,,1,,,
MCTP2,6,,,,,,,,,,,,,,,,,,6,,,,
SHMT1,1,,,,,,,,,,,,,,,,,,,1,,,
CPT2,1,,1,,,,,,,,,,,,,,,,,,,,
NUP155,2,,,,,,,,,,2,,,,,,,,,,,,
CTCF,1,,,,,,,,,,,,,,,,,1,,,,,
GPR183,1,,,,,,,,,,,,,,,,,,1,,,,
CDC6,2,,,,,,,,,,,,,,,,,,,1,,1,
PRR5L,7,,1,,,,,,,,,,,,,,,,6,,,,
CDK1,23,,,,,,,,,,23,,,,,,,,,,,,
ECT2,2,,,,,,,,,,2,,,,,,,,,,,,
KLF9,3,,,,,,,,,,,,,,,,,3,,,,,
ANKRD37,1,,,,,,,,,,,,,,,,,1,,,,,
PIDD1,4,,,,,,,,,,,,,,,,,,1,,,3,
TMSB4X,17,2,,,,,,,,,,,,,,,,,,,,15,
SLC34A2,4,,,,,,1,,,,3,,,,,,,,,,,,
TRAF1,4,,,,,,,,,,2,,,,,,,1,,1,,,
CD58,1,,,,,,,,,,,,1,,,,,,,,,,
POU5F1,6,,,,,,,,,,,,,,,,,6,,,,,
ERC1,11,2,,,1,,,,,,7,,,,,,,1,,,,,
CDH1,8,1,,,,,,,,,,,,,,,,,7,,,,
PARP1,46,,,,,,,,,,46,,,,,,,,,,,,
EXOC4,5,,,,,,,,,,5,,,,,,,,,,,,
CEACAM5,1,,,,,,,,,,,,,,,,1,,,,,,
RPL26,8,,1,,,,,,,,7,,,,,,,,,,,,
HK2,26,,,,,,2,,,,24,,,,,,,,,,,,
KCNN3,3,,,,,,,,,,1,,,,,,,2,,,,,
CDKN1C,2,,,,,,,,,,,,,,,,,1,,,,1,
LIFR,2,,,,,,,,,,,,,,,,,,2,,,,
LGALS3,3,,,,,,,,,,,,,,,,,,,3,,,
MEF2C,4,2,,,,,,,,,,,1,,,,,,,1,,,
DDX11,2,,,,,,,,,,2,,,,,,,,,,,,
USP45,1,,,,,,,,,,1,,,,,,,,,,,,
PSEN1,1,,,,,,,,,,,,,,,,1,,,,,,
RB1CC1,1,,,,,,,,,,,,,,,,,,1,,,,
MPO,1,,,,,,,,,,,,,,,,,,,,1,,
CTSC,1,,,,,,,,,,,,,,,,,,,,,1,
FDPS,1,,,,,,,,,,1,,,,,,,,,,,,
PTAR1,1,,,,,,,,,,,,,,,,,1,,,,,
IQSEC1,1,,,,,,,,,,,,,,,,,,1,,,,
TNFRSF11B,4,,,,,,,,,,,,,,,,,,,4,,,
POR,1,,,,,,,,,,,,,,,,,,,1,,,
CD4,4,,,,,,,,,,,,,,,,,,,,,3,1
COL2A1,5,,,,,,,,,,,,,,,,,,,,,5,
HSD17B11,7,,,,,,,,,,,,,,,,,,,,,7,
PADI3,3,3,,,,,,,,,,,,,,,,,,,,,
PRF1,3,3,,,,,,,,,,,,,,,,,,,,,
MB,1,,1,,,,,,,,,,,,,,,,,,,,
LMNA,15,,,,,,1,,,,,,,,,,,,14,,,,
RET,4,,,,,,3,,,,,,,,,,,,,,1,,
SCARB1,1,,,,,,,,,,1,,,,,,,,,,,,
RAD51B,3,,,,,,,,,,3,,,,,,,,,,,,
WRN,4,,,,,,,,,,2,,,,,,,,,,2,,
TNFRSF18,7,,,,,,,,,,7,,,,,,,,,,,,
TRAPPC9,1,,,,,,,,,,,,,,1,,,,,,,,
ANKIB1,2,,,,,,,,,,,,,,,,,1,,1,,,
IVL,3,3,,,,,,,,,,,,,,,,,,,,,
HTT,1,,,,,,1,,,,,,,,,,,,,,,,
JAK1,1,,,,,,,,,,1,,,,,,,,,,,,
BRD7,3,,,,,,,,,,2,,,,,,,,,1,,,
EIPR1,1,,,,,,,,,,,,,,,,,1,,,,,
FAS,1,,,,,,,,,,,,,,,,,,1,,,,
CDC42EP3,2,2,,,,,,,,,,,,,,,,,,,,,
CASP8,1,1,,,,,,,,,,,,,,,,,,,,,
UBE2H,2,2,,,,,,,,,,,,,,,,,,,,,
GREB1,1,,,,,,1,,,,,,,,,,,,,,,,
ACAP3,3,,,,,,,,,,3,,,,,,,,,,,,
SEMA3D,10,,,,,,,,,,2,,,,,,,,3,,,5,
SAMD11,1,,,,,,,,,,,,,,,,,,1,,,,
RFFL,5,,,,,,,,,,,,,,,,,,,1,,4,
SMG6,3,3,,,,,,,,,,,,,,,,,,,,,
NEK7,6,1,,,1,,,,,,,,,,,,,1,3,,,,
ZNF143,5,,,,,,,,,,,,,,,,,3,2,,,,
CPQ,3,,,,,,,,,,,,,,,,,3,,,,,
VPS13D,4,,,,,,,,,,,,,,,,,1,3,,,,
SLC25A11,3,,,,,,,,,,,,,,,,,,,,,3,
VPS13B,13,,,,,,1,,,,7,,,,,,,1,4,,,,
CD28,26,,,,,,,,,,26,,,,,,,,,,,,
HNRNPA2B1,2,,,,,,,,,,2,,,,,,,,,,,,
IL5,13,,,,,,,,,,12,,,,,,,,1,,,,
NME2,2,,,,,,,,,,2,,,,,,,,,,,,
SEL1L,1,,,,,,,,,,1,,,,,,,,,,,,
SH3TC1,2,,,,,,,,,,1,,,,,,,,,1,,,
ENTPD7,6,,,,,,,,,,6,,,,,,,,,,,,
TWIST1,13,,,,,,,,,,,,,1,,,,,,,,12,
WIPF1,1,,,,,,,,,,,,,,1,,,,,,,,
TNRC18,2,,,,,,,,,,,,,,,,,,,2,,,
FTO,15,1,,,,,,,,,2,,,,,,,,,12,,,
IGF2BP1,1,,1,,,,,,,,,,,,,,,,,,,,
NRAS,8,,,,,,,,,,7,,,,,,,,,,1,,
IL1A,1,,,,,,,,,,,,,,1,,,,,,,,
GABPA,3,,,,,,,,,,,,,,,,,,3,,,,
NCOA3,1,,,,,,,,,,,,,,,,,,1,,,,
MACROD2,3,,,,,,,,,,,,,,,,,,3,,,,
BNIP3L,9,5,,,,,,,,,2,,,,,,,1,1,,,,
CHI3L1,1,1,,,,,,,,,,,,,,,,,,,,,
MAML2,7,6,,,,,,,,,,,,,,,,1,,,,,
BPTF,9,,1,,,,,,,,4,,,,,,,,,3,,1,
SLC39A9,1,,1,,,,,,,,,,,,,,,,,,,,
PTK2,2,,,,,,1,,,,1,,,,,,,,,,,,
CTNNA2,4,,,,,,,,,,,,,,,,,,,,,4,
CYP19A1,19,,,,1,,,,,,16,,,,,,,,1,,1,,
CSK,4,,,,,,,,,,4,,,,,,,,,,,,
SIX5,1,,,,,,,,,,1,,,,,,,,,,,,
SMAD3,1,,,,,,,,,,,,,,1,,,,,,,,
IGF2,1,,,,,,,,,,,,,,,,,1,,,,,
TRIOBP,1,,,,,,,,,,,,,,,,,1,,,,,
BBC3,3,,,,,,,,,,,,,,,,,,1,1,,1,
CDT1,2,1,,,,,,,,,1,,,,,,,,,,,,
BCL6,45,1,1,,,,,,,,,,,,,,,40,1,,,,2
HMOX1,12,,,,1,,2,,,,5,,,,,,,,3,,,,1
EGLN1,13,,,,,,,,,,13,,,,,,,,,,,,
ADD1,2,,,,,,,,,,,,,,,,,1,1,,,,
TESK1,1,,,,,,,,,,,,,,,,,1,,,,,
PNPLA4,5,,,,,,,,,,,,,,,,,5,,,,,
PPP1R13L,1,,,,,,,,,,,,,,,,,,,1,,,
MRPL27,2,,,,,,,,,,,,,,,,,,,,,2,
LONP1,2,1,,,,,,,,,,,,,,,,,1,,,,
BRCA1,4,,,,,,,,,,4,,,,,,,,,,,,
CTBS,1,,,,,,,,,,1,,,,,,,,,,,,
KDM5A,11,,,,,,,,,,7,1,,,,,,1,2,,,,
ETV6,22,,,,,,,,,,,,,,,,,19,3,,,,
NPC1,1,,,,,,,,,,,,,,,,,,,1,,,
MBD1,1,,1,,,,,,,,,,,,,,,,,,,,
PTHLH,3,,1,,,,,,,,,,,,,,,,,2,,,
LAMA5,1,,,,,1,,,,,,,,,,,,,,,,,
ILK,7,,,,,,,,,,7,,,,,,,,,,,,
ODC1,1,,,,,,,,,,1,,,,,,,,,,,,
EPM2A,2,,,,,,,,,,2,,,,,,,,,,,,
CSF1,1,,,,,,,,,,,,1,,,,,,,,,,
VCP,1,,,,,,,,,,,,,,,,,,,1,,,
XAF1,1,,,,,,,,,,,,,,,,,,,1,,,
OAS2,1,1,,,,,,,,,,,,,,,,,,,,,
ATP2A3,3,3,,,,,,,,,,,,,,,,,,,,,
CALD1,4,,1,,,,,,,1,2,,,,,,,,,,,,
IL33,1,,1,,,,,,,,,,,,,,,,,,,,
NRXN1,1,,,,,,1,,,,,,,,,,,,,,,,
ATXN7,1,,,,,,,,,,1,,,,,,,,,,,,
UTRN,3,,,,,,,,,,1,,1,,,,,,,1,,,
LNX1,13,,,,,,,,,,,,,,,,1,1,11,,,,
LTF,15,,,,,,,,,,,,,,,,,2,,13,,,
ANK3,2,,,,,,,,,,,,,,,,,,2,,,,
SERPINB9,2,,,,,,,,,,,,,,,,,,2,,,,
PUM2,4,,,,,,,,,,,,,,,,,,4,,,,
LHFPL2,1,,,,,,,,,,,,,,,,,,,1,,,
LRRFIP1,11,2,,,,,,,,,,,,1,,,,,8,,,,
NFE2L2,1,1,,,,,,,,,,,,,,,,,,,,,
SVIL,1,1,,,,,,,,,,,,,,,,,,,,,
PLCL2,1,1,,,,,,,,,,,,,,,,,,,,,
NOTCH1,1,,1,,,,,,,,,,,,,,,,,,,,
SYNE2,3,,1,,,1,,,,,1,,,,,,,,,,,,
LTBP1,12,,,,,,1,,,,,,,,,,,11,,,,,
SOCS3,2,,,,,,,,,,,,2,,,,,,,,,,
VEGFD,2,,,,,,,,,,,,,,,,,2,,,,,
ITPR1,4,,,,,,,,,,,,,,,,,,3,1,,,
CHD6,1,,,,,,,,,,,,,,,,,,1,,,,
SAA1,12,1,,,,,,,,,,,,1,,,,9,,1,,,
BMAL1,2,,2,,,,,,,,,,,,,,,,,,,,
ADH6,76,,,,,,,,,,76,,,,,,,,,,,,
ERCC6,14,,,,,,,,,,14,,,,,,,,,,,,
MMP14,7,,,,,,,,,,7,,,,,,,,,,,,
EEF2,3,3,,,,,,,,,,,,,,,,,,,,,
DCK,9,4,,,,,,,,,3,,,,,,,1,,,1,,
TRPC6,4,1,,,,,,,,,,,,,,,,,3,,,,
TNC,1,,,,,,,,,,1,,,,,,,,,,,,
TMEM131L,1,,,,,,,,,,,,,,,,,,1,,,,
MBNL1,2,1,,,,,,,,,,,,,,,,,,,1,,
TGFBR3,1,1,,,,,,,,,,,,,,,,,,,,,
TSPAN5,1,,,,,,1,,,,,,,,,,,,,,,,
RAD51,10,,,,,,,,,,10,,,,,,,,,,,,
PTPRD,1,,,,,,,,,,,,,,,,,1,,,,,
ITGA6,2,,,,,,,,,,,,,,,,,,,,2,,
NEDD9,5,3,,,,,,,,,,,,1,,,,,,1,,,
AFAP1,2,1,,,,,,,,,,,,,,,,1,,,,,
SCTR,5,5,,,,,,,,,,,,,,,,,,,,,
SEPTIN9,14,,2,,,,,,,,,,,,,,,,11,1,,,
IMPACT,3,,,,,,1,,,,,,,,,,,2,,,,,
HSD17B1,2,,,,,,,,,,2,,,,,,,,,,,,
PCM1,1,,,,,,,,,,1,,,,,,,,,,,,
TNFSF14,12,,,,,,,,,,12,,,,,,,,,,,,
GPATCH2L,6,,,,,,,,,,6,,,,,,,,,,,,
NTS,3,,,,,,,,,,,,,,,,,,3,,,,
PIP4K2A,5,1,1,,,,,,,,,,,,,,,3,,,,,
RNF220,1,1,,,,,,,,,,,,,,,,,,,,,
ANPEP,1,,,,,,,,,,1,,,,,,,,,,,,
ITGB3,4,,,,,,,,,,4,,,,,,,,,,,,
FOXC1,9,,,,,,,,,,,,,,,,,9,,,,,
DYRK1A,1,,,,,,,,,,,,,,,,,,1,,,,
GADD45G,10,,,,,,,,,,,,,,,,,,10,,,,
AGER,1,,,,,,,,,,,,,,,,,,,1,,,
UBE3C,1,,,,,,,,,,,,,,,,,,,1,,,
ST6GAL1,4,2,,,,,,,,,,,,,,,1,1,,,,,
PHTF2,6,1,,,1,,,,,,,,2,,,,,1,1,,,,
NID1,10,,,,,,,,,,10,,,,,,,,,,,,
SSBP3,1,,,,,,,,,,1,,,,,,,,,,,,
ERCC1,1,,,,,,,,,,,,,,,,,1,,,,,
MICB,2,1,,,,,,,,,,,,,,,,1,,,,,
HNRNPH1,1,,,,,,,,,,1,,,,,,,,,,,,
PBX1,5,,,,,,,,,,5,,,,,,,,,,,,
SRM,4,,,,,,,,,,4,,,,,,,,,,,,
GABARAPL2,9,,,,,,,,,,,,,,,,,9,,,,,
TANGO2,1,,,,,,,,,,,,,,,,,,1,,,,
FRMD3,1,,,,,,,,,,,,,,,,,,1,,,,
AP3D1,1,,,,,,,,,,,,,,,,,,,,1,,
SPHK1,6,,,,,,,,,,,,,,,,,,,,,6,
CYP1B1,29,1,,,,,,,,,,,,,,,,,,28,,,
TLR4,20,1,,,,,,,,,18,,,,,,,,,,,1,
SIAH1,1,,1,,,,,,,,,,,,,,,,,,,,
DUSP6,1,,,,,,,,,,1,,,,,,,,,,,,
NCL,1,,,,,,,,,,1,,,,,,,,,,,,
MAP4K4,8,,,,,,,,,,8,,,,,,,,,,,,
FADS2,2,,,,,,,,,,,2,,,,,,,,,,,
EP300,1,,,,,,,,,,1,,,,,,,,,,,,
RPS15,2,,,,,,,,,,2,,,,,,,,,,,,
XPC,5,,,,,,,,,,5,,,,,,,,,,,,
EZR,2,,,,,,,,,,,,,,1,,,,1,,,,
PTEN,1,,,,,,,,,,,,,,,,,,,,1,,
GNAL,13,,,,,,,,,,,,,,,,,,,,,13,
CD9,13,2,,,,,,,,,11,,,,,,,,,,,,
PPARG,3,,2,,,,,,,,,,,,,,,,,1,,,
SMARCA2,2,,1,,1,,,,,,,,,,,,,,,,,,
IL2RB,40,,,,,,,,,,39,,,,,,,,,,,,1
SRPK2,1,,,,,,,,,,1,,,,,,,,,,,,
PIEZO1,1,,,,,,,,,,1,,,,,,,,,,,,
CBX5,1,,,,,,,,,,1,,,,,,,,,,,,
STK3,1,,,,,,,,,,,,,,,,1,,,,,,
SPRY2,1,,,,,,,,,,,,,,,,1,,,,,,
ACSL3,2,,,,,,,,,,,,,,,,,2,,,,,
BTRC,1,,,,,,,,,,,,,,,,,1,,,,,
ALOX5AP,3,,,,,,,,,,,,,,,,,,,3,,,
ZCCHC9,1,,,,,,,,,,,,,,,,,,,,,1,
STAT5A,13,4,,,1,,4,,,,,,,,,,,4,,,,,
REV1,1,,1,,,,,,,,,,,,,,,,,,,,
BBX,1,,,,,,,,,,1,,,,,,,,,,,,
PHF8,1,,,,,,,,,,,,,,,,,1,,,,,
TBXAS1,1,,,,,,,,,,1,,,,,,,,,,,,
SLC2A1,2,1,,,,,,,,,,,,,,,,,,,,1,
TNFRSF10A,3,2,,,,,,,,,1,,,,,,,,,,,,
RASAL2,5,,,,1,,,,,,,,,,,,,3,,1,,,
BCL2,4,,,,,,,,,,2,1,,,,,,,,1,,,
BID,1,,,,,,,,,,1,,,,,,,,,,,,
CAV1,13,,,,,,,,,,13,,,,,,,,,,,,
CCL5,5,,,,,,,,,,1,,,,,,,,,2,2,,
NOSIP,7,,,,,,,,,,7,,,,,,,,,,,,
CLEC16A,6,,,,,,,,,,,,1,,,,,,5,,,,
ZEB1,3,,,,,,,,,,,,,,,,,3,,,,,
ABCB1,20,9,,,,,,,,,,,,,,,,,3,4,,4,
HAMP,2,1,,,,,,,,,,,,,,,,,,,,1,
OSM,8,4,,,,,,,,,3,,,,,,,,,,1,,
PRPF31,1,,1,,,,,,,,,,,,,,,,,,,,
FN1,29,,,,,,,,,,28,,,,,,,,,,,1,
HMGCS1,2,,,,,,,,,,,1,,,,,,1,,,,,
ERG,2,,,,,,,,,,,,,1,,,,,,,,1,
BARX2,1,,,,,,,,,,,,,,1,,,,,,,,
LAMC1,3,,,,,,,,,,,,,,,,,3,,,,,
WNT4,2,,,,,,,,,,,,,,,,,1,1,,,,
PLCB1,44,,,,,,,,,,,,,,,,1,,39,4,,,
ERC2,4,,,,,,,,,,,,,,,,,4,,,,,
MAFK,1,,,,,,,,,,,,,,,,,,1,,,,
AKAP13,1,,,,,,,,,,,,,,,,,,,1,,,
HSPA1B,2,,,,,,,,,,,,,,,,,,,,2,,
IL16,1,,,,,,,,,,,,,,,,,,,,,1,
SLAMF7,1,,,,,,,,,,,,,,,,,,,,,1,
NFKBIZ,1,1,,,,,,,,,,,,,,,,,,,,,
XIAP,9,2,,,,,1,,,,4,,,1,,,,,,1,,,
ST7,1,,1,,,,,,,,,,,,,,,,,,,,
SLCO3A1,2,,,,,,2,,,,,,,,,,,,,,,,
RCC1,2,,,,,,,,,,2,,,,,,,,,,,,
LASP1,1,,,,,,,,,,1,,,,,,,,,,,,
TGM4,41,,,,,,,,,,41,,,,,,,,,,,,
EEA1,10,,,,,,,,,,,,,,,,,4,6,,,,
LSM14A,1,,,,,,,,,,,,,,,,,1,,,,,
RPS6KC1,2,,,,,,,,,,,,,,,,,,2,,,,
PFKFB3,27,,,,,,,,,,27,,,,,,,,,,,,
ANAPC10,1,,,,,,,,,,1,,,,,,,,,,,,
IRF2,3,,,,,,,,,,,,,,,,,3,,,,,
PROS1,1,,,,,,,,,,,,,,,,,1,,,,,
DST,1,,,,,,,,,,,,,,,,,,,1,,,
MMP2,1,,,,,,,,,,,,,,,,,,,,,1,
GHR,2,,1,,,,,,,,,,,,,,,,,1,,,
GCLC,2,,1,,,,1,,,,,,,,,,,,,,,,
TFAP2A,18,,1,,,,,,,,16,,,,,,,,,1,,,
TNFAIP8,3,,,,1,,,,,,,,,,,,,,2,,,,
NME1,5,,,,,,,,,,5,,,,,,,,,,,,
MIA,2,,,,,,,,,,2,,,,,,,,,,,,
CDC45,1,,,,,,,,,,1,,,,,,,,,,,,
SFMBT1,1,,,,,,,,,,1,,,,,,,,,,,,
MIB1,4,,,,,,,,,,4,,,,,,,,,,,,
HMCN1,12,,,,,,,,,,6,,,,,,,,,6,,,
PER1,4,,,,,,,,,,,3,,,,,,,1,,,,
AHRR,3,,,,,,,,,,,,,,,,,3,,,,,
VPS26A,3,,,,,,,,,,,,,,,,,,3,,,,
ATG10,1,,,,,,,,,,,,,,,,,,,1,,,
HBP1,1,,,,,,,,,,,,,,,,,,,,1,,
PLXNA2,1,,1,,,,,,,,,,,,,,,,,,,,
UBR5,6,,,,,,,,1,,1,,,,,,,,1,,,3,
MYO1C,2,,,,,,,,,,,,,,,,,2,,,,,
RORA,2,,,,,,,,,,,,,,,,,1,,,,1,
ARHGEF16,1,1,,,,,,,,,,,,,,,,,,,,,
EDNRB,8,,,,,,1,,,,7,,,,,,,,,,,,
ADORA2A,1,,,,,,,,,,,,,,,,,1,,,,,
TBC1D1,1,1,,,,,,,,,,,,,,,,,,,,,
NME3,1,,1,,,,,,,,,,,,,,,,,,,,
CLUH,2,,1,,,,,,,,1,,,,,,,,,,,,
EXT1,4,,,,,,,,,,4,,,,,,,,,,,,
NFATC4,1,,,,,,,,,,1,,,,,,,,,,,,
ANKRD44,2,,,,,,,,,,1,,,,,,,,1,,,,
ARHGAP45,2,,,,,,,,,,,,,,,2,,,,,,,
AGPAT3,1,,,,,,,,,,,,,,,,1,,,,,,
RIGI,2,,,,,,,,,,,,,,,,,2,,,,,
DAZAP1,1,,,,,,,,,,,,,,,,,1,,,,,
PKDCC,1,1,,,,,,,,,,,,,,,,,,,,,
KCNH2,1,,,,1,,,,,,,,,,,,,,,,,,
ZFAT,3,,,,,,1,,,,,,,,,,,1,1,,,,
TRIAP1,4,,,,,,,,,,4,,,,,,,,,,,,
NUP210,5,,,,,,,,,,,,,,,,,,,,,5,
GFAP,23,8,,,,,,,,,1,,,,,,,3,11,,,,
PTK6,8,8,,,,,,,,,,,,,,,,,,,,,
ARHGEF19,3,3,,,,,,,,,,,,,,,,,,,,,
STARD13,1,,,,1,,,,,,,,,,,,,,,,,,
NIN,2,,,,,,,,,,,,,,,,,1,1,,,,
SEC22C,1,,,,,,,,,,,,,,,,,,1,,,,
LBR,1,,,,,,,,,,,,,,,,,,,,1,,
VDR,4,2,,,,,,,,,,,,,,,,,,2,,,
APEX1,3,,,,,,1,,,,,,,,,,,2,,,,,
ITGA2,9,,,,,,1,,,,3,,1,,,,,,4,,,,
JUNB,16,,,,,,1,,,,1,,,2,,,,,,12,,,
BRCA2,1,,,,,,,,,,1,,,,,,,,,,,,
ESR2,8,,,,,,,,,,1,,,,,,,7,,,,,
MCM2,1,,,,,,,,,,1,,,,,,,,,,,,
PKMYT1,4,,,,,,,,,,4,,,,,,,,,,,,
BTG3,1,,,,,,,,,,1,,,,,,,,,,,,
NEDD4L,1,,,,,,,,,,,,,,,,,1,,,,,
PAX5,1,,,,,,,,,,,,,,,,,,1,,,,
PTOV1,1,,,,,,,,,,,,,,,,,,,1,,,
GNA12,1,,,,,,,,,,,,,,,,,,,,1,,
UBE2L3,2,,,,,,,,,,,,,,,,,,,,,2,
GSTM1,2,,2,,,,,,,,,,,,,,,,,,,,
ITSN1,5,,,,2,,,,,,,,,,,,,,3,,,,
EPS8,6,,,,,,,,,,1,,,,,,,,5,,,,
LAMP1,3,,,,,,,,,,3,,,,,,,,,,,,
SOX12,1,,,,,,,,,,1,,,,,,,,,,,,
MIDEAS,2,,,,,,,,,,2,,,,,,,,,,,,
CD3D,3,,,,,,,,,,,,,,,,,1,1,,,,1
PTPRF,2,,,,,,,,,,,,,,,,,,,2,,,
EGF,4,1,,,,,,,,,,,,,,,,3,,,,,
WNT10B,1,1,,,,,,,,,,,,,,,,,,,,,
TET3,3,2,,,,,,,,,,,,,,,,,,,1,,
DDX5,2,,,,,,,,,,2,,,,,,,,,,,,
SMC4,5,,,,,,,,,,5,,,,,,,,,,,,
ATF6,10,,,,,,,,,,1,1,,,,,,8,,,,,
ARID4A,3,,,,,,,,,,,,,,,,,1,,2,,,
CDH23,1,,,,,,,,,,,,,,,,,,1,,,,
CD8A,2,1,,,,,,,,,,,,,,,,,1,,,,
SCHIP1,4,4,,,,,,,,,,,,,,,,,,,,,
CCL2,47,1,,,,,,,,,8,,1,,,,,30,,,,7,
MLANA,1,,,,,,,,,,,,,,,,,,1,,,,
